nf	ni	stddev	nstars	line1	line2	ele1	ele2	c0	c1	c2	c3  teffa teffb rata ratb meanr nfit
84	 234	 85	 631	 6244.48	 6251.83	 SiI	 VI	 6243.80	 -1453.19	 506.77	 -59.44	 4677	 6227	 0.13	 18.65	 1.40	 4
85	 235	 84	 579	 6244.48	 6274.66	 SiI	 VI	 4523.33	 588.96	 -96.92	 5.67	 4483	 6023	 0.07	 5.75	 1.66	 2
86	 236	 86	 611	 6244.48	 6285.17	 SiI	 VI	 6205.23	 -1876.68	 876.68	 -139.64	 4597	 6161	 0.10	 14.78	 1.11	 4
87	 237	 98	 650	 6244.48	 6177.25	 SiI	 NiI	 6660.05	 -3480.42	 2071.83	 -448.12	 4590	 6374	 0.14	 3.57	 0.63	 4
88	 249	 113	 591	 6414.99	 6392.54	 SiI	 FeI	 6415.25	 -2375.15	 1141.16	 -187.41	 4483	 6403	 0.08	 4.31	 0.78	 4
89	 255	 94	 596	 6527.21	 6599.12	 SiI	 TiI	 6326.93	 -2506.53	 1431.47	 -267.86	 4724	 6276	 0.10	 11.94	 0.91	 4
90	 270	 110	 566	 6721.85	 6646.94	 SiI	 FeI	 4235.60	 609.17	 -79.30	 4.21	 4483	 6289	 0.43	 7.21	 2.67	 2
91	 272	 87	 584	 6721.85	 6710.32	 SiI	 FeI	 4230.19	 1031.56	 -227.30	 19.25	 4483	 6146	 0.22	 4.80	 1.70	 2
92	 273	 80	 572	 6721.85	 6739.52	 SiI	 FeI	 4210.62	 844.47	 -156.60	 11.12	 4483	 6227	 0.27	 6.29	 2.17	 2
93	 278	 87	 570	 6741.63	 6710.32	 SiI	 FeI	 6563.74	 -973.31	 175.60	 -10.15	 4630	 6361	 0.32	 10.04	 2.10	 4
94	 279	 80	 565	 6741.63	 6739.52	 SiI	 FeI	 5550.43	 1662.04	 -157.26	 -1096.98	 4550	 6361	 0.12	 4.22	 0.88	 6
95	 290	 97	 673	 5671.82	 5649.99	 ScI	 FeI	 6897.07	 -3187.99	 1664.25	 -306.37	 4483	 6287	 0.28	 2.19	 0.89	 2
96	 291	 103	 649	 5671.82	 5651.47	 ScI	 FeI	 7830.80	 -3355.60	 1235.43	 -148.60	 4590	 6403	 0.48	 2.90	 1.38	 2
97	 433	 77	 592	 6064.63	 5996.73	 TiI	 NiI	 6599.89	 -2141.61	 856.48	 -113.61	 4648	 6289	 0.23	 2.72	 1.10	 2
98	 434	 62	 605	 6064.63	 6086.29	 TiI	 NiI	 6387.85	 -3229.31	 2290.12	 -602.43	 4597	 6136	 0.12	 1.60	 0.60	 2
99	 435	 69	 605	 6064.63	 6111.08	 TiI	 NiI	 6506.10	 -3146.86	 2013.39	 -457.97	 4597	 6161	 0.15	 1.79	 0.69	 2
100	 436	 90	 576	 6064.63	 6119.76	 TiI	 NiI	 6661.09	 -1327.95	 303.24	 -20.30	 4653	 6227	 0.42	 4.38	 1.80	 2
101	 437	 68	 593	 6064.63	 6130.14	 TiI	 NiI	 6521.63	 -2052.94	 830.87	 -113.27	 4654	 6161	 0.23	 2.77	 1.08	 2
102	 439	 92	 543	 6064.63	 6027.06	 TiI	 FeI	 4159.34	 543.35	 -65.95	 2.94	 4497	 6023	 0.84	 12.57	 3.79	 4
103	 440	 119	 529	 6064.63	 6034.04	 TiI	 FeI	 6678.15	 -1142.61	 201.28	 -7.66	 4614	 6289	 0.20	 4.51	 1.94	 2
104	 442	 92	 530	 6064.63	 6054.08	 TiI	 FeI	 4545.01	 545.85	 1474.29	 -821.08	 4483	 6026	 0.08	 1.80	 0.65	 4
105	 443	 91	 560	 6064.63	 6056.01	 TiI	 FeI	 6309.38	 -4928.95	 5926.69	 -2836.70	 4483	 6136	 0.08	 1.01	 0.38	 2
106	 444	 97	 565	 6064.63	 6078.49	 TiI	 FeI	 6358.07	 -5816.32	 8229.09	 -4568.93	 4483	 6161	 0.07	 0.88	 0.35	 2
107	 445	 71	 546	 6064.63	 6079.01	 TiI	 FeI	 4197.28	 710.98	 -113.67	 6.86	 4483	 6023	 0.43	 8.97	 2.65	 4
108	 446	 85	 554	 6064.63	 6089.57	 TiI	 FeI	 6535.03	 -3414.13	 2243.27	 -537.65	 4483	 6287	 0.07	 1.51	 0.61	 2
109	 447	 67	 535	 6064.63	 6094.38	 TiI	 FeI	 6644.28	 -2259.86	 935.29	 -131.93	 4640	 6161	 0.26	 2.64	 1.04	 2
110	 448	 83	 546	 6064.63	 6098.25	 TiI	 FeI	 6811.52	 -2336.63	 930.19	 -127.72	 4597	 6287	 0.31	 2.86	 1.19	 2
111	 449	 76	 545	 6064.63	 6127.91	 TiI	 FeI	 6330.86	 -3252.59	 2221.87	 -541.89	 4590	 6136	 0.11	 1.34	 0.53	 2
