nl	stddev	nstars	line	ele	c0	c1	c2	c3	c4	teffa	teffb	feha	fehb	ewa	ewb	slope
82	 0.0171331497235	 130	 6322.69	 FeI	 5.779799e+00	 -8.055253e+01	 5.427435e-02	 -1.090091e+01	 -7.305473e-06	 2.177307e-02	 5044	 6374	 -0.84	 0.19	 49.7	 74.7	 0.999902961872
83	 0.00998018212266	 11	 6335.34	 FeI	 -1.534126e+03	 -4.523673e+02	 5.468987e-01	 1.045423e+01	 -4.583033e-05	 8.696853e-02	 5564	 6178	 -0.83	 -0.32	 56.9	 74.2	 0.995320714588
84	 0.0150705701109	 10	 6336.83	 FeI	 -1.887069e+03	 -3.545500e+02	 6.916727e-01	 3.106733e+01	 -5.970587e-05	 7.795830e-02	 4855	 6178	 -0.68	 0.0	 63.8	 74.4	 0.996115666843
85	 0.00842338599393	 88	 6358.68	 FeI	 4.244295e+01	 5.890107e+00	 6.928279e-02	 -1.231654e+00	 -1.074285e-05	 1.068210e-02	 5417	 6374	 -0.78	 0.21	 38.4	 74.9	 1.00000007664
86	 0.0265414930807	 235	 6481.88	 FeI	 -5.002635e+01	 -3.984053e+01	 7.497177e-02	 8.035448e-01	 -9.555545e-06	 1.515681e-02	 4650	 6403	 -0.78	 0.3	 32.1	 75.0	 1.00031927418
87	 0.0296487422338	 338	 6498.94	 FeI	 1.394565e+02	 -2.402669e+01	 1.230812e-02	 -6.441638e+00	 -4.927176e-06	 1.169386e-02	 4590	 6374	 -0.84	 0.39	 21.2	 74.9	 1.00012920127
88	 0.0250656706733	 66	 6593.88	 FeI	 -4.380907e+01	 -1.472540e+02	 6.499476e-02	 -2.035468e+01	 -7.538509e-06	 3.072413e-02	 5215	 6361	 -0.84	 0.18	 53.2	 74.9	 1.00042321306
89	 0.0161865704192	 220	 6609.12	 FeI	 8.299789e+01	 -2.829773e+00	 2.963031e-02	 3.052824e+00	 -5.624407e-06	 9.899832e-03	 4715	 6374	 -0.78	 0.3	 34.3	 75.0	 0.999979221802
90	 0.0508073462626	 534	 6726.67	 FeI	 6.688736e+01	 1.551744e+01	 1.957187e-02	 -3.000615e+00	 -3.959639e-06	 6.129714e-03	 4654	 6403	 -0.84	 0.39	 20.2	 74.9	 0.999776962427
91	 0.0235879364135	 378	 6810.27	 FeI	 -1.053551e+02	 7.966819e+00	 7.879084e-02	 -1.494430e-01	 -8.963585e-06	 7.575287e-03	 4597	 6374	 -0.84	 0.35	 20.4	 73.5	 1.00004753061
92	 0.0190059651048	 381	 6820.37	 FeI	 -1.108008e+02	 2.848240e+01	 7.829299e-02	 6.043232e+00	 -8.988420e-06	 4.130588e-03	 4550	 6374	 -0.78	 0.37	 21.7	 73.8	 1.00001894399
93	 0.0318880317851	 372	 6828.60	 FeI	 -2.081239e+02	 -8.210350e+00	 1.159732e-01	 6.978595e-01	 -1.216005e-05	 1.044873e-02	 4497	 6403	 -0.84	 0.33	 22.6	 74.9	 1.00013759814
94	 0.0239283588487	 171	 6837.01	 FeI	 -2.204583e+02	 -3.395572e+00	 1.009196e-01	 8.072381e+00	 -1.033196e-05	 6.596986e-03	 4550	 6161	 -0.23	 0.39	 20.1	 36.6	 0.999990512049
95	 0.030980898696	 341	 6839.84	 FeI	 2.121951e+01	 7.226674e+01	 3.841530e-02	 1.020583e+01	 -6.365919e-06	 -4.814491e-03	 4575	 6287	 -0.78	 0.39	 20.0	 69.1	 0.999819611521
96	 0.0215751638841	 385	 6842.69	 FeI	 -1.687470e+02	 2.889233e+01	 9.664911e-02	 7.533402e-01	 -1.049713e-05	 3.341855e-03	 4590	 6289	 -0.67	 0.35	 20.6	 66.5	 1.00001571023
97	 0.0265529558423	 321	 6843.66	 FeI	 -2.581338e+02	 -1.861071e+01	 1.367016e-01	 -3.652653e+00	 -1.409132e-05	 1.226342e-02	 4550	 6374	 -0.84	 0.33	 27.6	 74.9	 1.00004091122
98	 0.0161549990832	 267	 6857.25	 FeI	 -2.548948e+02	 -1.335058e+01	 1.203170e-01	 4.770115e+00	 -1.250224e-05	 9.672615e-03	 4497	 6227	 -0.47	 0.39	 20.0	 46.9	 1.00008543089
99	 0.0300380567298	 378	 6858.15	 FeI	 -1.829548e+02	 -8.596899e+00	 1.050160e-01	 -1.036844e+00	 -1.111657e-05	 1.030265e-02	 4483	 6374	 -0.84	 0.35	 20.1	 74.5	 1.00018388685
100	 0.0260692260646	 331	 6862.50	 FeI	 -2.983079e+02	 5.255139e+00	 1.380368e-01	 7.020223e+00	 -1.402119e-05	 7.160675e-03	 4483	 6361	 -0.54	 0.39	 20.2	 56.6	 1.00038776954
